song,artist,cluster
Renegade,Styx,5
The Grand Illusion,Styx,6
Fooling Yourself (The Angry Young Man),Styx,7
Come Sail Away,Styx,7
Superstars,Styx,1
Miss America,Styx,7
Mademoiselle,Styx,6
Light Up,Styx,7
Lorelei,Styx,7
Lady,Styx,7
Eye In The Sky,The Alan Parsons Project,1
Psychobabble,The Alan Parsons Project,6
Games People Play,The Alan Parsons Project,5
Time,The Alan Parsons Project,3
Lucifer,The Alan Parsons Project,8
Damned If I Do,The Alan Parsons Project,3
I Wouldn't Want to Be Like You,The Alan Parsons Project,3
Some Other Time,The Alan Parsons Project,5
I Robot,The Alan Parsons Project,8
Breakdown,The Alan Parsons Project,7
Don't Let It Show,The Alan Parsons Project,7
The Voice,The Alan Parsons Project,6
Day After Day (The Show Must Go On),The Alan Parsons Project,4
The Raven - 1987 Remix,The Alan Parsons Project,3
The Tell-Tale Heart - 1987 Remix,The Alan Parsons Project,3
(The System Of) Doctor Tarr And Professor Fether - 1987 Remix,The Alan Parsons Project,7
Rhythm of Love,Yes,7
Owner of a Lonely Heart,Yes,6
Hold On,Yes,6
It Can Happen,Yes,7
Leave It,Yes,6
Our Song,Yes,7
City of Love,Yes,6
Hearts,Yes,7
Roundabout - 2008 Remaster,Yes,7
Long Distance Runaround - 2008 Remaster,Yes,2
We Have Heaven - 2008 Remaster,Yes,5
"I've Seen All Good People: a. Your Move, b. All Good People - 2008 Remaster",Yes,7
The Clap - 2008 Remaster,Yes,2
Rainy Days And Mondays,Carpenters,3
Mandy,Barry Manilow,4
If,Bread,4
All Out of Love,Air Supply,4
Please Mr. Please,Olivia Newton-John,4
You Needed Me,Anne Murray,4
Love Will Keep Us Together,Captain & Tennille,1
My Eyes Adored You,Frankie Valli,3
Angie Baby,Helen Reddy,3
Everything I Own,Bread,4
When Will I See You Again,The Three Degrees,6
I'm Not Lisa,Jessi Colter,4
This Masquerade,Carpenters,3
Making Love Out of Nothing at All,Air Supply,7
Lost In Love,Air Supply,4
Make It with You,Bread,4
Have You Never Been Mellow,Olivia Newton-John,4
"Endless Love - From ""The Endless Love"" Soundtrack",Lionel Richie,4
"Endless Love - From ""The Endless Love"" Soundtrack",Diana Ross,4
The Winner Takes It All,ABBA,7
I'm Not In Love,10cc,4
Too Much Heaven,Bee Gees,2
Knock Three Times,Tony Orlando & Dawn,1
Candida,The Dawn,6
Candida,Tony Orlando & Dawn,6
"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando & Dawn,1
Who's In The Strawberry Patch With Sally - Digitally Remastered 1998,Tony Orlando & Dawn,2
How Deep Is Your Love,Bee Gees,3
Baby I'm-a Want You,Bread,4
Every Woman in the World,Air Supply,4
Long Tall Glasses (I Can Dance) - Remastered,Leo Sayer,6
Swearin' to God - Single Version,Frankie Valli,1
Steppin' Out (I'm Gonna Boogie Tonight) - Digitally Remastered 1998,Tony Orlando & Dawn,1
Bad Time - Remastered 2002,Grand Funk Railroad,5
I've Never Been to Me - Rerecorded,Charlene,4
Bungle in the Jungle - 2002 Remaster,Jethro Tull,5
Aubrey,Bread,4
Here I Am (Just When I Thought I Was Over You),Air Supply,2
When Will I Be Loved,Linda Ronstadt,6
Walking In Rhythm,The Blackbyrds,1
Rhinestone Cowboy,Glen Campbell,1
I'd Love You to Want Me,Lobo,6
Do That To Me One More Time,Captain & Tennille,6
Poetry Man,Phoebe Snow,4
Sha-La-La (Make Me Happy),Al Green,1
You Light Up My Life,Debby Boone,4
Chiquitita,ABBA,4
I Started A Joke,Bee Gees,7
I'll Never Love This Way Again,Dionne Warwick,3
The One That You Love,Air Supply,4
Hopelessly Devoted To You - From “Grease” Soundtrack,Olivia Newton-John,3
Only Women Bleed,Alice Cooper,4
I'd Really Love to See You Tonight,England Dan & John Ford Coley,1
Philadelphia Freedom,Elton John,5
Don't give up on us,David Soul,4
That's the Way of the World,"Earth, Wind & Fire",1
Someone Saved My Life Tonight,Elton John,7
Leader of the Band,Dan Fogelberg,4
Lost Without Your Love,Bread,4
Fernando,ABBA,4
Some Kind Of Wonderful - Remastered 1999,Grand Funk Railroad,1
At Seventeen - Remastered,Janis Ian,4
Without You,Air Supply,7
You're No Good,Linda Ronstadt,6
It's Too Late,Carole King,3
Guitar Man,Bread,5
Could It Be Magic,Barry Manilow,3
Broken Hearted Me,Anne Murray,7
Listen To What The Man Said - 1993 Digital Remaster,Wings,6
Dance with Me,Orleans,4
Sailing,Christopher Cross,4
To Love Somebody,Bee Gees,4
Woman in Love,Barbra Streisand,3
I Am Woman,Helen Reddy,1
You're My World,Helen Reddy,6
Delta Dawn,Helen Reddy,6
You And Me Against The World,Helen Reddy,4
Ain't No Way To Treat A Lady,Helen Reddy,4
I Don't Know How To Love Him,Helen Reddy,4
Leave Me Alone,Helen Reddy,6
Crazy Love,Helen Reddy,4
Peaceful,Helen Reddy,6
Think I'll Write A Song,Helen Reddy,4
Emotion,Helen Reddy,2
We'll Sing In The Sunshine,Helen Reddy,1
I Think It's Going To Rain Today,Helen Reddy,4
Our House,Helen Reddy,4
How Can I Be Sure,Helen Reddy,3
A Song For You,Helen Reddy,4
I Believe In Music,Helen Reddy,2
Somewhere In The Night,Helen Reddy,4
Raised On Rock,Helen Reddy,2
I've Been Wanting You So Long,Helen Reddy,6
You Have Lived,Helen Reddy,3
I'll Be Your Audience,Helen Reddy,5
Loneliness,Helen Reddy,4
Showbiz,Helen Reddy,6
Lovin' You,Helen Reddy,1
Until It's Time For You To Go,Helen Reddy,4
This Masquerade,Helen Reddy,3
I Didn't Mean To Love You,Helen Reddy,3
Where Is My Friend,Helen Reddy,4
And I Love You So,Helen Reddy,4
What Would They Say,Helen Reddy,4
Where Is The Love,Helen Reddy,3
"Hit The Road, Jack",Helen Reddy,0
The Last Blues Song,Helen Reddy,6
Dancing Queen,ABBA,2
Mamma Mia,ABBA,1
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,6
Take A Chance On Me,ABBA,6
Waterloo,ABBA,1
Super Trouper,ABBA,1
Voulez-Vous,ABBA,5
Head Over Heels,ABBA,3
On And On And On,ABBA,6
"Andante, Andante",ABBA,7
Me And I,ABBA,1
Our Last Summer,ABBA,2
Lay All Your Love On Me,ABBA,5
Happy New Year,ABBA,4
The Piper,ABBA,6
I Have A Dream,ABBA,4
Does Your Mother Know,ABBA,6
The Name Of The Game,ABBA,6
Thank You For The Music,ABBA,4
"Knowing Me, Knowing You",ABBA,1
"Money, Money, Money",ABBA,5
SOS,ABBA,7
Bang-A-Boomerang,ABBA,6
"I Do, I Do, I Do, I Do, I Do",ABBA,1
So Long,ABBA,8
Dance (While The Music Still Goes On),ABBA,1
"Honey, Honey",ABBA,6
Take A Chance On Me,ABBA,6
Thank You For The Music,ABBA,4
Even the Nights Are Better,Air Supply,4
Poison,Alice Cooper,7
School's Out,Alice Cooper,2
I'm Eighteen,Alice Cooper,3
Feed My Frankenstein,Alice Cooper,1
Welcome to My Nightmare,Alice Cooper,5
Devil's Food,Alice Cooper,0
The Black Widow,Alice Cooper,7
Some Folks,Alice Cooper,7
Department of Youth,Alice Cooper,2
Cold Ethyl,Alice Cooper,1
Years Ago,Alice Cooper,3
Steven,Alice Cooper,3
Billion Dollar Babies,Alice Cooper,5
No More Mr. Nice Guy,Alice Cooper,5
Under My Wheels,Alice Cooper,7
Danny's Song,Anne Murray,3
Snowbird,Anne Murray,6
Could I Have This Dance,Anne Murray,4
I Just Fall In Love Again,Anne Murray,4
Tennessee Waltz,Anne Murray,4
There Goes My Everything,Anne Murray,4
I'm Gonna Sit Right Down And Write Myself A Letter,Billy Williams,1
So Into You,Atlanta Rhythm Section,3
I'm Not Gonna Let It Bother Me Tonight,Atlanta Rhythm Section,6
Evileen,Atlanta Rhythm Section,1
Hangin' Around,The Edgar Winter Group,2
Paper Blood - 2017 Remaster,"Emerson, Lake & Palmer",1
Come On In - Single Version,The Oak Ridge Boys,6
Dancing The Night Away,The Oak Ridge Boys,1
Didn't She Really Thrill Them (Back In 1924),The Oak Ridge Boys,4
Dig A Little Deeper In The Well,The Oak Ridge Boys,6
Dream On - Single Version,The Oak Ridge Boys,1
Easy,The Oak Ridge Boys,4
Elvira,The Oak Ridge Boys,1
Emmylou,The Oak Ridge Boys,1
Every Now And Then,The Oak Ridge Boys,4
Freckles,The Oak Ridge Boys,4
Gonna Take A Lot Of River,The Oak Ridge Boys,1
I Gotta Get Over This,The Oak Ridge Boys,1
I Wish You Could Have Turned My Head (And Left My Heart Alone),The Oak Ridge Boys,1
I'll Be True To You,The Oak Ridge Boys,4
(I'm Settin') Fancy Free - Single Version,The Oak Ridge Boys,4
Leaving Louisiana In The Broad Daylight,The Oak Ridge Boys,1
Let Me Be The One,The Oak Ridge Boys,4
My Radio Sure Sounds Good To Me,The Oak Ridge Boys,0
An Old Time Family Bluegrass Band,The Oak Ridge Boys,6
Old Time Lovin',The Oak Ridge Boys,1
Sail Away,The Oak Ridge Boys,4
Sometimes The Rain Won't Let Me Sleep,The Oak Ridge Boys,4
There Must Be Something About Me That She Loves,The Oak Ridge Boys,6
This Crazy Love,The Oak Ridge Boys,1
Trying To Love Two Women - Single Version,The Oak Ridge Boys,1
Up On Cripple Creek,The Oak Ridge Boys,1
Y'all Come Back Saloon,The Oak Ridge Boys,1
You're The One - Single Version,The Oak Ridge Boys,1
Love Shack,The B-52's,2
Rock Lobster,The B-52's,7
Private Idaho,The B-52's,1
Roam,The B-52's,6
Howlin' for You,The Black Keys,6
You Get What You Give,New Radicals,1
Photograph,Ringo Starr,1
It Don't Come Easy,Ringo Starr,6
You're Sixteen (You’re Beautiful And You’re Mine),Ringo Starr,6
No-No Song,Ringo Starr,1
Only You (And You Alone),Ringo Starr,1
Oh My My,Ringo Starr,1
Act Naturally,Ringo Starr,6
Act Naturally,Buck Owens,6
Shang-a-Lang,Bay City Rollers,6
Keep on Dancing - Les McKeown Version,Bay City Rollers,0
Remember (Sha La La La),Bay City Rollers,6
Summerlove Sensation,Bay City Rollers,2
You Made Me Believe In Magic,Bay City Rollers,5
Saturday Night,Bay City Rollers,6
Rock 'n' Roll Love Letter,Bay City Rollers,1
Money Honey,Bay City Rollers,1
I Only Want to Be with You,Bay City Rollers,1
The Way I Feel Tonight - Single Version,Bay City Rollers,6
Maybe I'm a Fool to Love You,Bay City Rollers,1
I Think I Love You,David Cassidy,7
I Think I Love You,The Partridge Family,7
Save Your Kisses For Me,Brotherhood of Man,6
I'd Like to Teach the World to Sing (In Perfect Harmony) - Rerecorded Version,The New Seekers,6
"Look What They've Done to My Song, Ma",The New Seekers,4
Never Ending Song of Love,Delaney & Bonnie,1
Rock On,David Essex,0
One Bad Apple,The Osmonds,1
Down By The Lazy River,The Osmonds,5
Yo-Yo,The Osmonds,1
He Ain't Heavy...He's My Brother,The Osmonds,4
